id	text	category	source	date
243	Photo message	образование	urok_rf	04.02.2025 8:12
241	Photo message	образование	urok_rf	03.02.2025 8:10
240	Photo message	образование	urok_rf	02.02.2025 9:01
239	В Курской области по требованию прокуратуры педагогические работники получили перерасчет заработной платы в размере 3,2 млн рублей Прокуратура Дмитриевского района Курской области провела проверку исполнения законодательства в сфере оплаты труда учителей в муниципальных учреждениях образования. Установлено, что с целью доведения заработной платы педагогических работников ряда образовательных учреждений района до минимального размера оплаты труда в нее были необоснованно включены выплаты за выполнение дополнительной работы в виде классного руководства, проверку письменных работ, заведование учебными кабинетами, лабораториями, мастерскими, учебно-опытными участками и руководство методическими объединениями. Однако, согласно действующему законодательству, дополнительная работа, не входящая в круг основных должностных обязанностей учителей, должна оплачиваться сверх минимального размера оплаты труда. В связи с этим прокуратура внесла представление в адрес главы района с требованием устранить выявленные нарушения. После вмешательства надзорного ведомства произведены перерасчет и выплаты заработной платы 158 педагогическим работникам в общей сумме более 3,2 млн рублей.	образование	urok_rf	01.02.2025 9:04
238	Музейная педагогика: как музеи становятся частью образования Музей – это не просто хранилище артефактов, а мощный инструмент обучения. 📚✨ Музейная педагогика – направление в образовании, которое использует музеи и их экспонаты для углубленного изучения истории, культуры, науки и искусства. Чем полезна музейная педагогика: 🔹 Живое погружение в историю – вместо сухих фактов из учебников дети видят реальные артефакты, чувствуют атмосферу эпохи. 🔹 Развитие креативного мышления – экспонаты вдохновляют на исследования, творчество и новые открытия. 🔹 Укрепление памяти – наглядные примеры помогают лучше запоминать материал. 🔹 Интерактивность – многие музеи предлагают квесты, мастер-классы и ролевые игры, что делает обучение увлекательным. Как музеи помогают учиться: 🏺 На уроках истории школьники посещают выставки, изучают археологические находки и знакомятся с подлинными документами. 🖼 На уроках искусства дети анализируют картины и создают собственные работы под руководством музейных педагогов. 🧬 В естественнонаучных музеях школьники исследуют скелеты динозавров, редкие минералы и законы физики на интерактивных стендах. Сегодня музеи активно внедряют цифровые технологии: VR-экскурсии, виртуальные реконструкции древних городов, мультимедийные гиды. Это делает обучение доступным даже для тех, кто не может приехать в музей. Музей – это не просто хранилище артефактов, а мощный инструмент обучения. 📚✨ Музейная педагогика – направление в образовании, которое использует музеи и их экспонаты для углубленного изучения истории, культуры, науки и искусства. Чем полезна музейная педагогика: 🔹 Живое погружение в историю – вместо сухих фактов из учебников дети видят реальные артефакты, чувствуют атмосферу эпохи. 🔹 Развитие креативного мышления – экспонаты вдохновляют на исследования, творчество и новые открытия. 🔹 Укрепление памяти – наглядные примеры помогают лучше запоминать материал. 🔹 Интерактивность – многие музеи предлагают квесты, мастер-классы и ролевые игры, что делает обучение увлекательным. Как музеи помогают учиться: 🏺 На уроках истории школьники посещают выставки, изучают археологические находки и знакомятся с подлинными документами. 🖼 На уроках искусства дети анализируют картины и создают собственные работы под руководством музейных педагогов. 🧬 В естественнонаучных музеях школьники исследуют скелеты динозавров, редкие минералы и законы физики на интерактивных стендах. Сегодня музеи активно внедряют цифровые технологии: VR-экскурсии, виртуальные реконструкции древних городов, мультимедийные гиды. Это делает обучение доступным даже для тех, кто не может приехать в музей.	образование	urok_rf	31.01.2025 8:59
237	Photo message	образование	urok_rf	30.01.2025 8:56
236	Сергей Миронов: школьникам нужен единый стандарт нагрузки Чрезмерная нагрузка школьников — одна из главных проблем современной системы образования. Руководитель фракции «Справедливая Россия — За правду» Сергей Миронов выступил с инициативой введения единого стандарта нагрузки для российских учеников. Основные пункты инициативы: - Установить максимально допустимое количество часов на учебные и внеурочные занятия, выполнение домашних заданий и дополнительные занятия. - Сделать этот стандарт обязательным не только для школ, но и для онлайн-курсов, репетиторов и других образовательных структур. - Унифицировать задания ОГЭ и ЕГЭ с материалами школьной программы, чтобы сократить потребность в репетиторах. По словам депутата, в последние годы школьники сталкиваются с перегрузкой из-за: - избыточного количества изучаемых предметов; - шестидневной учебной недели, которая до сих пор сохраняется в некоторых школах; - необходимости заниматься дополнительно с репетиторами. Миронов отметил, что фактически ученики вынуждены заниматься двумя параллельными «учебами»: в школе и дома с репетиторами, а это сказывается на их здоровье и свободном времени. Вопрос о введении единого стандарта нагрузки будет рассмотрен в весеннюю сессию Госдумы. Напомним, что официальное обращение по этой теме депутаты СРЗП направили в правительство ещё в августе 2024 года.	образование	urok_rf	29.01.2025 6:59
235	‼С.Кравцов: предмет «Основы духовно-нравственной культуры народов России» вернется в школы с 1 сентября 2026 года.	образование	urok_rf	28.01.2025 16:18
234	Photo message	образование	urok_rf	28.01.2025 6:55
233	Бесплатное горячее питание для школьников: новый законопроект в Государственной Думе В Государственную Думу Российской Федерации внесён законопроект, предлагающий обеспечить всех школьников бесплатным горячим питанием. На сегодняшний день такая мера действует только для учеников начальной школы, независимо от доходов семьи или наличия льгот. Новый законопроект направлен на расширение этой инициативы и поддержку учащихся всех возрастов. Авторы инициативы уверены, что бесплатное горячее питание поможет: - снизить риск развития заболеваний у детей; - сформировать привычки здорового питания; - повысить работоспособность и успеваемость школьников; - поддержать их физическое и умственное развитие. Минпросвещения России считает, что для полноценной реализации проекта необходимо тщательно проработать изменения в нормативных актах, а также выделить дополнительные средства из бюджетов всех уровней. Согласно законопроекту, ежегодные расходы федерального бюджета оцениваются в 40 млрд рублей. Однако, по мнению экспертов, это далеко не окончательная сумма. Чтобы обеспечить всех школьников горячим питанием, потребуется: - модернизировать школьные пищеблоки; - увеличить штат сотрудников столовых; - учесть более высокую стоимость питания для старшеклассников. Эти меры значительно увеличат нагрузку на федеральный, региональные и местные бюджеты. Если законопроект будет принят, он вступит в силу с 1 сентября 2025 года.	образование	urok_rf	27.01.2025 7:00
232	Photo message	образование	urok_rf	19.01.2025 11:04
231	Photo message	образование	urok_rf	18.01.2025 11:04
230	Photo message	образование	urok_rf	17.01.2025 11:03
229	Приказ Министерства просвещения Российской Федерации от 28.11.2024 № 838 "Об утверждении перечня средств обучения и воспитания, соответствующих современным условиям обучения, необходимых при оснащении общеобразовательных организаций в целях реализации мероприятий государственной программы Российской Федерации "Развитие образования", направленных на содействие созданию (создание) в субъектах Российской Федерации новых (дополнительных) мест в общеобразовательных организациях, модернизацию инфраструктуры общего образования, школьных систем образования, критериев его формирования и требований к функциональному оснащению общеобразовательных организаций" (Зарегистрирован 18.12.2024 № 80619) Некоторые изменения, которые вошли в новый перечень: – во входной зоне появились Государственный флаг России на напольном флагштоке или мачте, большой герб Российской Федерации и другое оборудование; – места для сидения, отдыха и ожидания во входной зоне, а также интерактивную стойку со встроенным планшетом для навигации переместили из основного оснащения в дополнительное вариативное; – для охраны добавили систему контроля и управления доступом – на случай, если она изначально отсутствовала в проектной документации; – в гардеробе зеркало стало необязательным; – в библиотечно-информационном центре добавили сканер штрих-кода и принтер этикеток; – расширили перечень оборудования для спортзала; – скорректировали оснащение предметных кабинетов.	образование	urok_rf	16.01.2025 11:02
